Authors,Year,Title,Journal,Report Book Conference,Group,Family,Species,Keywords,Suggested Citation,sUAS Platform,sUAS Model,Sensors,Refs Chk
"Abd-Elrahman, A., L. Pearlstine, and F. Percival",2005,Development of Pattern Recognition Algorithm for Automatic Bird Detection from Unmanned Aerial Vehicle Imagery,Surveying and Land Information Science,,Birds,,,"species identification, image processing","Abd-Elrahman, A., L. Pearlstine, and F. Percival. 2005. Development of Pattern Recognition Algorithm for Automatic Bird Detection from Unmanned Aerial Vehicle Imagery. Surveying and Land Information Science 65: 37-45.",fixed-wing,,,
"Abreo, N.A.S., R.M. Aurelio, Jr, V.B. Kobayashi, and K.F. Thompson",2022,"‘Eye in the sky’: Off-the-shelf unmanned aerial vehicle (UAV) highlights exposure of marine turtles to floating litter (FML) in nearshore waters of Mayo Bay, Philippines",Marine Pollution Bulletin,,Reptiles,,,"species detection, human-wildlife conflict, Philippines","Abreo, N.A.S., R.M. Aurelio, Jr, V.B. Kobayashi, and K.F. Thompson. 2022. ‘Eye in the sky’: Off-the-shelf unmanned aerial vehicle (UAV) highlights exposure of marine turtles to floating litter (FML) in nearshore waters of Mayo Bay, Philippines. Marine Pollution Bulletin https://doi.org/10.1016/j.marpolbul.2022.114489.",quadcopter,DJI Mavic 2 Pro,,
"Acevedo-Whitehouse, K., A. Rocha-Gosselin, and D. Gendron",2010,A novel non-invasive tool for disease surveillance of free-ranging whales and its relevance to conservation programs,Animal Conservation,,Marine mammals,"Balaenopteridae, Delphinidae, Eschrichtiidae, Physeteridae","common dolphin, Delphinus sp.,
bottlenose dolphin, Tursiops truncatus, Bryde’s whale, Balaenoptera
edeni, fin whale, Balaenoptera physalus, sperm whale, Physeter macrocephalus, humpback whale, Megaptera novaeangliae, blue whale, Balaenoptera musculus, gray whale, Eschrichtius robustus","physiology, health, Mexico","Acevedo-Whitehouse, K., A. Rocha-Gosselin, and D. Gendron. 2010. A novel non-invasive tool for disease surveillance of free-ranging whales and its relevance to conservation programs. Animal Conservation 13: 217-225.",RC helicopter,Raptor 30 V2 Thunder Tiger,"Temp, humidity, pressure, air quality & wind sensors; RedEdge MX multispec camera; oCam RGB and Caddx Turbo EOS2 RGB cameras",
"Acklen, J.C., J.F. Dwyer, K. Kowalski, and J. Goldberg",2020,Can Drones Help Prevent Bird Collisions,T&D World,,Birds,Accipitridae,"bald eagle, Haliaeetus leucocephalus","power lines, power line markers, Maryland","Acklen, J.C., J.F. Dwyer, K. Kowalski, and J. Goldberg. 2020. Can Drones Help Prevent Bird Collisions. T&D World January.",quadcopter,DJI Matrice 210,,na
"Adame, K., M.A. Pardo, C. Salvadeo, E. Beier, and F.R. Elorriaga-Verplancken",2017,Detectability and categorization of California sea lions using an unmanned aerial vehicle,Marine Mammal Science,,Marine mammals,Otariidae,"California sea lion, Zalophus californianus","population estimate, disturbance, Mexico ","Adame, K., M.A. Pardo, C. Salvadeo, E. Beier, and F.R. Elorriaga-Verplancken. 2017. Detectability and categorization of California sea lions using an unmanned aerial vehicle. Marine Mammal Science 33: 913–925. ",quadcopter,DJI Phantom 3 Advanced,DJI 12-MP camera,
"Adams, W.M.",2019,"Geographies of conservation II: Technology, surveillance and conservation by algorithm",Progress in Human Geography,,Review,,,review,"Adams, W.M. 2019. Geographies of conservation II: Technology, surveillance and conservation by algorithm. Progress in Human Geography https://doi.org/10.1177/0309132517740220.",,,,
"Adão, T., J. Hruška, L. Pádua, J. Bessa, E. Peres, R. Morais, and J.J. Sousa",2017,"Hyperspectral Imaging: A Review on UAV-Based Sensors, Data Processing and Applications for Agriculture and Forestry",Remote Sensing,,review,,,"review, sensors","Adão, T., J. Hruška, L. Pádua, J. Bessa, E. Peres, R. Morais, and J.J. Sousa. 2017. Hyperspectral Imaging: A Review on UAV-Based Sensors, Data Processing and Applications for Agriculture and Forestry. Remote Sensing 9, 1110; doi:10.3390/rs9111110.",,,,
"Afán, I., M. Máñez, and R. Díaz-Delgado",2018,"Drone Monitoring of Breeding Waterbird
Populations: The Case of the Glossy Ibis",Drones,,Birds,Threskiornithidae,"glossy ibis, Plegadis falcinellus","nest census, nest monitoring, Spain","Afán, I., M. Máñez, and R. Díaz-Delgado. 2018. Drone Monitoring of Breeding Waterbird Populations: The Case of the Glossy Ibis. Drones 2: https://doi.org/10.3390/drones2040042. ",Quadcopter,DJI Phantom 4 Pro,20-MP camera,
"Agapiou, A.",2020,Vegetation Extraction Using Visible-Bands from Openly Licensed Unmanned Aerial Vehicle Imagery,Drones,,Vegetation,,,"vegetation index, RGB camera, Green leaf index. Philippines, Russia, Ohio, France","Agapiou, A. 2020. Vegetation Extraction Using Visible-Bands from Openly Licensed Unmanned Aerial Vehicle Imagery. Drones 4. doi:10.3390/drones4020027. ",Quadcopter,"DJI Mavic 2 Pro, DJI FC6310, Parrot Anafi",SONY DSC-WX220,na
"Agrawal, K. and P. Shrivastav",2015,Multi-rotors: A Revolution In Unmanned Aerial Vehicle,International Journal of Science and Research,,Platform,,,"review, platforms","Agrawal, K. and P. Shrivastav. 2015. Multi-rotors: A Revolution In Unmanned Aerial Vehicle. International Journal of Science and Research 4: 1800-1804.",,,,
"Ajó, A.F., E. Pirotta, K.C. Bierlich, L. Hildebrand, C.N. Bird, K.E. Hunt, C.L. Buck, L. New, D. Dillon, and L.G. Torres",2023,Assessment of a non-invasive approach to pregnancy diagnosis in gray whales through drone-based photogrammetry and faecal hormone analysis,Royal Society Open Science,,marine mammals,Eschrichtiidae,"gray whale, Eschrichtius robustus","morphometrics, health, disturbance, Oregon","Ajó, A.F., E. Pirotta, K.C. Bierlich, L. Hildebrand, C.N. Bird, K.E. Hunt, C.L. Buck, L. New, D. Dillon, and L.G. Torres. 2023. Assessment of a non-invasive approach to pregnancy diagnosis in gray whales through drone-based photogrammetry and faecal hormone analysis. Royal Society Open Science https://doi.org/10.1098/rsos.230452.",quadcopter,"Phantom 3 Pro, Phantom 4, Phantom 4 Pro, Inspire 2",8.3-MP camera,
"Akbari, Y., N. Almaadeed, S. Al‑maadeed, and O. Elharrouss",2021,"Applications, databases and open computer vision research from drone videos and images: a survey",Artificial Intelligence Review,,review,,,Review,"Akbari, Y., N. Almaadeed, S. Al‑maadeed, and O. Elharrouss. 2021. Applications, databases and open computer vision research from drone videos and images: a survey. Artificial Intelligence Review https://doi.org/10.1007/s10462-020-09943-1.",,,,
"Alamouri, A., A. Lampert, and M. Gerke",2023,"Impact of Drone Regulations on Drone Use in Geospatial Applications and Research: Focus on Visual Range Conditions, Geofencing and Privacy Considerations",,"Journal of Photogrammetry, Remote Sensing and Geoinformation Science",review,,,"review, ethics, social impacts, safety, privacy, regulations","Alamouri, A., A. Lampert, and M. Gerke. 2023. Impact of Drone Regulations on Drone Use in Geospatial Applications and Research: Focus on Visual Range Conditions, Geofencing and Privacy Considerations. Journal of Photogrammetry, Remote Sensing and Geoinformation Science https://doi.org/10.1007/s41064-023-00246-y.",,,,
"Alberg, C.Q., D.A. Ruid, and R.C. Willging",2020,Bearing Down on Damage from Above: Drones Help to Detect and Assess Bear Damage to Crops,The Wildlife Professional,,Mammals,Ursidae,"black bear, Ursus americanus","review, human-wildlife conflict, monitoring, Wisconsin","Alberg, C.Q., D.A. Ruid, and R.C. Willging. 2020. Bearing Down on Damage from Above: Drones Help to Detect and Assess Bear Damage to Crops. The Wildlife Professional November/December 2020: 32-35.",,,,x
"Albores-Barajas, Y.V., C. Soldatini, A. Ramos-Rodriguez, J.E. Alcala-Santoyo, R. Carmona, and G. Dell'Omo",2018,A New Use of Technology to Solve an Old Problem: Estimating the Population Size of a Burrow Nesting Seabird,PLoS ONE,,Birds,Procellariidae,"black-vented shearwater, Puffinus opisthomelas","Mexico, population estimate, nest census, nest monitoring","Albores-Barajas Y.V., C. Soldatini, A. Ramos-Rodriguez, J.E. Alcala-Santoyo, R. Carmona, and G. Dell'Omo. 2018. A New Use of Technology to Solve an Old Problem: Estimating the Population Size of a Burrow Nesting Seabird. PLoS ONE 13(9): e0202094. https://doi.org/10.1371/journal.pone.0202094. ",Quadcopter,DJI Phantom 3 Standard,,
"Albuquerque, R.W., M.O. Costa, M.E. Ferreira, G.C. Carrero, and C.H. Grohmann",2020,Remotely piloted aircraft imagery for automatic tree counting in forest restoration areas: a case study in the Amazon,Journal of Unmanned Vehicle Systems,,Vegetation,,,"digital surface model, canopy height model, digital terrain model, restoration, Brazil","Albuquerque, R.W., M.O. Costa, M.E. Ferreira, G.C. Carrero, and C.H. Grohmann. 2020. Remotely piloted aircraft imagery for automatic tree counting in forest restoration areas: a case study in the Amazon. Journal of Unmanned Vehicle Systems 8: 207–223.",,,,na
"Allan, B.M., D. Ierodiaconou, A.J. Hoskins, and J.P.Y. Arnould",2019,A Rapid UAV Method for Assessing Body Condition in Fur Seals,Drones,,Marine mammals,Otariidae,"Australian fur seal, Arctocephalus pusillus doriferus","morphometrics, species detection, Australia","Allan, B.M., D. Ierodiaconou, A.J. Hoskins, and J.P.Y. Arnould. 2019. A Rapid UAV Method for Assessing Body Condition in Fur Seals. Drones 3, 24; doi:10.3390/drones3010024.",quadcopter,3DR Solo; DJI Phantom 4,Parrot Sequoia multispec camera; stock DJI 12-MP camera,x
"Allan, B.M., D. Ierodiaconou, D.G. Nimmo, M. Herbert, and E.G. Ritchie",2015,Free as a Drone: Ecologists Can Add UAVs to Their Toolbox,Frontiers in Ecology and the Environment,,review,,,"review, regulations, Australia, USA","Allan, B.M., D. Ierodiaconou, D.G. Nimmo, M. Herbert, and E.G. Ritchie. . Free as a Drone: Ecologists Can Add UAVs to Their Toolbox. Frontiers in Ecology and the Environment 13: 354-355.",,,,
"Allport, G.",2016,"Fleeing by Whimbrel Numenius phaeopus in Response to Use of a Recreational Drone in Maputo Bay, Mozambique",Biodiversity Observations,,Birds,Scolopacidae,"Eurasian whimbrel, Numenius phaeopus","disturbance, Mozambique","Allport, G. 2016. Fleeing by Whimbrel Numenius phaeopus in Response to Use of a Recreational Drone in Maputo Bay, Mozambique. Biodiversity Observations 7: 1-5. https://journals.uct.ac.za/index.php/BO/article/view/337/378.",quadcopter,DJI Phantom,,
"Altena, B. and T. Goedeme",2014,Assessing UAV Platform Types and Optical Sensor Specifications,,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Platform,,,"platforms, sensors, Belgium","Altena, B. and T. Goedeme. 2014. Assessing UAV Platform Types and Optical Sensor Specifications. ISPRS Technical Commission V Symposium, June 23-25, 2014, Riva del Garda, Italy. ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume II-5: 17-24.",fixed-wing; quadcopter,Trimble Gatewing UX5; Microdrone MD4-1000,16-MP camera; 24-MP camera,
"Alvarado, D.C., P.W. Robinson, N.C. Frasson, D.P. Costa, and R.S. Beltran",2020,Calibration of aerial photogrammetry to estimate elephant seal mass,,,Marine mammals,Phocidae,"Northern elephant seal, Mirounga angustirostris","morphometrics, California","Alvarado, D.C., P.W. Robinson, N.C. Frasson, D.P. Costa, and R.S. Beltran. 2020. Calibration of aerial photogrammetry to estimate elephant seal mass. Marine Mammal Science https://doi.org/10.1111/mms.12714.",quadcopter,DJI Phantom 3,stock DJI camera,
"Álvarez-González, M., P. Suarez-Bregua, G.J. Pierce, and C. Saavedra",2023,Unmanned Aerial Vehicles (UAVs) in Marine Mammal Research: A Review of Current Applications and Challenges,Drones,,Marine mammals,,,"review, platforms, sensors, applications","Álvarez-González, M., P. Suarez-Bregua, G.J. Pierce, and C. Saavedra. 2023. Unmanned Aerial Vehicles (UAVs) in Marine Mammal Research: A Review of Current Applications and Challenges. Drones https://doi.org/10.3390/drones7110667.",,,,
"Amano, M. Y. Kawano, T. Kubo, T. Kuwahara, and H. Kobayashi",2021,Population‑level laterality in foraging finless porpoises,Scientific Reports,,Marine mammals,Phocoenidae,"narrow-ridged finless porpoise, Neophocaena asiaeorientalis","foraging behavior, Japan","Amano, M. Y. Kawano, T. Kubo, T. Kuwahara, and H. Kobayashi. 2021. Population‑level laterality in foraging finless porpoises. Scientific Reports https://doi.org/10.1038/s41598-021-00635-6.",quadcopter,DJI Phantom 4 Pro,,
"Ancin-Murguzur, F.J., L. Munoz, C. Monz, and V.H. Hausner",2020,Drones as a tool to monitor human impacts and vegetation changes in parks and protected areas,Remote Sensing in Ecology and Conservation,,Habitat,,,"anthropogenic impacts, habitat monitoring, Norway","Ancin-Murguzur, F.J., L. Munoz, C. Monz, and V.H. Hausner. 2020. Drones as a tool to monitor human impacts and vegetation changes in parks and protected areas. Remote Sensing in Ecology and Conservation 6: 105–113.",quadcopter,DJI Phantom 3,DJI 12-MP camera,na
"Anderson, K.",2016,Integrating multiple scales of remote sensing measurement – from satellites to kites,Progress in Physical Geography,,review,,,review,"Anderson, K. 2016. Integrating multiple scales of remote sensing measurement – from satellites to kites. Progress in Physical Geography 40: 187–195.",,,,
